objectid_1,objectid,po_legalst,po_legal_1,po_hgu,po_area_hg,subgroup,groupid,source,zsl,group_comp,shape_leng,type,area_ha,country,company,name,gfwid,globalid,shape_Length,shape_Area
691,691,HGU,HGU,22/HGU/BPN/99,0, ,66,varies,18,Sime Darby,6211.27745805,HGU,201,IDN,PT. Sajang Heulang,PT. Sajang Heulang 4,1746f96e-cc53-4107-b9f4-89b2beea3436,{6A9F67A3-F266-474B-ABDE-E9B8A289A878},6211.27746460029,2029259.64677535
692,692,HGU,HGU,22/HGU/BPN/99,0, ,66,varies,18,Sime Darby,10557.6680102,HGU,329,IDN,PT. Sajang Heulang,PT. Sajang Heulang 5,4292dc21-c8b8-4daf-9426-19aedbbfce67,{C514C350-4DDB-496B-A2BC-F8B7FCA86047},10557.6676924912,3326688.96405121
693,693,HGU,HGU,22/HGU/BPN/99,0, ,66,varies,18,Sime Darby,12920.9470497,HGU,217,IDN,PT. Sajang Heulang,PT. Sajang Heulang 6,aaf73d2b-8fa5-475c-9396-83fd17928adc,{5623ACC8-9C2F-4FE4-8BC5-5AA9FEF8EE9A},12920.9471061175,2198739.35807312
694,694,HGU,HGU,01/HGU/BPN/2003,1010, ,57,varies,0,PT Perkebunan Nusantara III Persero,24186.7076229,HGU,632,IDN,PTP Nusantara XIII,PTP Nusantara XIII 1,c77a0743-0a66-4d5d-839a-3f0e1a7616b8,{F0BE820A-C206-4CB7-A018-8612776B15AD},24186.7067757052,6375027.77463363
695,695,HGU,HGU,02/HGU/BPN/2003,630, ,57,varies,0,PT Perkebunan Nusantara III Persero,23231.2535761,HGU,836,IDN,PTP Nusantara XIII,PTP Nusantara XIII 2,68c38a20-4c57-4519-ace1-409e345a64e0,{A8E08C75-F0F4-49B6-BE62-E3404ED4F755},23231.2529261561,8444259.90753559
696,696,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,3918.42706772,HGU,40,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 1,7a072b87-e941-4d5e-a750-628214c0fae3,{ED80D6A2-618E-43E2-8509-E47E61E2F281},3918.42707528042,399627.754599534
697,697,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,5972.00983916,HGU,93,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 2,af3b16ce-6dd4-4a5b-8184-aa6553301dcc,{77DB6B6A-DAD9-4FB5-9DA3-4B60F1C87227},5972.00990182137,943005.978230758
698,698,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,14687.9371665,HGU,210,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 3,b0959e4a-5cec-41ad-a779-9a675e01ed07,{D5A7385F-40F3-4234-BFEA-8DF845C4E746},14687.9371361847,2125480.66493675
699,699,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,1662.79207924,HGU,16,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 4,3614bd55-c69e-4655-8ec5-4891d8e42447,{38FDE8C1-7645-4BCC-868F-A9832678EB23},1662.79214454793,157760.232410004
700,700,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,2305.45566975,HGU,24,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 5,249606c4-9f6a-45f9-b2b0-9b93bf64816d,{369087F9-5295-48CA-B8AF-D9B273B7B47A},2305.45572822048,243138.04923143
701,701,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,1903.98544519,HGU,17,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 6,798dbc80-5558-4f31-a66a-f8e121827cc4,{33E4D548-E559-42B7-897D-A42DF2A4FAB5},1903.98566276275,168983.816009592
702,702,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,118844.127517,HGU,15130,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 7,dde849e1-79ae-4381-823d-bb51a88932ee,{57A7B17E-345C-4CB1-9099-D96BEAD717C3},118844.12780801,152952891.277819
703,703,HGU,HGU,09/HGU/BPN/98,5260, ,99,varies,0,No group,32459.3382664,HGU,5178,IDN,PT. Malindo Jaya Diraja,PT. Malindo Jaya Diraja 8,b2a78dde-1ab5-4dc3-9951-789e9a5fd275,{26A3DC1C-8BF4-4470-8F28-3D6C02BC6A97},32459.3382605244,52346996.0729337
704,704,HGU,HGU,12/HGU/BPN/2002,210, ,66,varies,18,Sime Darby,6303.292086,HGU,89,IDN,PT. Laguna Mandiri,PT. Laguna Mandiri 1,843ffb99-7afb-4fc9-b874-8b1abb81e394,{ADE4D8A2-DF10-454E-9427-529663994DC4},6303.29214774004,895143.65292491
705,705,HGU,HGU,12/HGU/BPN/2002,210, ,66,varies,18,Sime Darby,11720.6973522,HGU,89,IDN,PT. Laguna Mandiri,PT. Laguna Mandiri 2,dc9a0d79-bc60-4841-b864-b41448db3aac,{A02612F2-CDDF-43D9-A656-C908D6DE2FA4},11720.6973434954,899930.488316514
